
> trax-gui@0.0.1 preview
> vite preview

ERROR: Using default session secret key. This is not secure and should be changed in production.
ERROR: Using default admin password. This is not secure and should be changed in production.
2025-12-11T01:45:12.770Z [DEBUG] [TRAX]  Downloading https://gtfsrt.api.translink.com.au/GTFS/SEQ_GTFS.zip...
2025-12-11T01:48:15.021Z [DEBUG] [TRAX]  Successfully processed service J11T
2025-12-11T01:48:15.254Z [DEBUG] [TRAX]  Successfully processed service S86T
2025-12-11T01:48:15.416Z [DEBUG] [TRAX]  Successfully processed service C61T
2025-12-11T01:48:15.639Z [DEBUG] [TRAX]  Successfully processed service 987T
2025-12-11T01:48:15.803Z [DEBUG] [TRAX]  Successfully processed service K32T
2025-12-11T01:48:15.803Z [DEBUG] [TRAX]  Loaded 15 QRT trains.
2025-12-11T01:48:15.803Z  [INFO] [TRAX]  Realtime GTFS cache refreshed incrementally.
2025-12-11T01:49:09.697Z [DEBUG] [TRAX]  Refreshing realtime GTFS cache...
2025-12-11T01:49:09.697Z [DEBUG] [TRAX]  Refreshing qrtTrains cache...
2025-12-11T01:49:09.699Z [DEBUG] [TRAX]  Loading realtime updates...
2025-12-11T01:49:09.857Z [DEBUG] [TRAX]  Loaded 1840 trip updates with 34510 stop time updates.
2025-12-11T01:49:09.858Z [DEBUG] [TRAX]  Loaded 1030 vehicle positions.
2025-12-11T01:49:09.858Z [DEBUG] [TRAX]  Found 1840 trips with realtime updates.
2025-12-11T01:49:09.867Z [DEBUG] [TRAX]  Re-augmenting updated trips...
2025-12-11T01:49:10.090Z [DEBUG] [TRAX]  Re-augmented 1840 trips.
2025-12-11T01:49:10.090Z [DEBUG] [TRAX]  Building augmented cache records for updated trips...
2025-12-11T01:49:11.048Z [DEBUG] [TRAX]  Successfully fetched 32 services
2025-12-11T01:49:11.915Z [DEBUG] [TRAX]  Successfully processed service 972T
2025-12-11T01:49:12.743Z [DEBUG] [TRAX]  Successfully processed service C75T
2025-12-11T01:49:12.938Z [DEBUG] [TRAX]  Successfully processed service 231T
2025-12-11T01:49:13.233Z [DEBUG] [TRAX]  Successfully processed service 985T
2025-12-11T01:49:13.399Z [DEBUG] [TRAX]  Successfully processed service K30T
2025-12-11T01:49:13.673Z [DEBUG] [TRAX]  Successfully processed service 992T
2025-12-11T01:49:13.838Z [DEBUG] [TRAX]  Successfully processed service C65T
2025-12-11T01:49:14.068Z [DEBUG] [TRAX]  Successfully processed service 987T
2025-12-11T01:49:14.285Z [DEBUG] [TRAX]  Successfully processed service 994T
2025-12-11T01:49:14.482Z [DEBUG] [TRAX]  Successfully processed service M34T
2025-12-11T01:49:14.810Z [DEBUG] [TRAX]  Successfully processed service 301T
2025-12-11T01:49:14.973Z [DEBUG] [TRAX]  Successfully processed service K32T
2025-12-11T01:49:15.208Z [DEBUG] [TRAX]  Successfully processed service J11T
2025-12-11T01:49:15.372Z [DEBUG] [TRAX]  Successfully processed service C61T
2025-12-11T01:49:15.613Z [DEBUG] [TRAX]  Successfully processed service S86T
2025-12-11T01:49:15.613Z [DEBUG] [TRAX]  Loaded 15 QRT trains.
2025-12-11T01:49:15.613Z  [INFO] [TRAX]  Realtime GTFS cache refreshed incrementally.
2025-12-11T01:50:09.863Z [DEBUG] [TRAX]  Refreshing realtime GTFS cache...
2025-12-11T01:50:09.863Z [DEBUG] [TRAX]  Refreshing qrtTrains cache...
2025-12-11T01:50:09.865Z [DEBUG] [TRAX]  Loading realtime updates...
2025-12-11T01:50:10.012Z [DEBUG] [TRAX]  Loaded 1831 trip updates with 34491 stop time updates.
2025-12-11T01:50:10.012Z [DEBUG] [TRAX]  Loaded 1031 vehicle positions.
2025-12-11T01:50:10.013Z [DEBUG] [TRAX]  Found 1831 trips with realtime updates.
2025-12-11T01:50:10.022Z [DEBUG] [TRAX]  Re-augmenting updated trips...
2025-12-11T01:50:10.270Z [DEBUG] [TRAX]  Re-augmented 1831 trips.
2025-12-11T01:50:10.271Z [DEBUG] [TRAX]  Building augmented cache records for updated trips...
2025-12-11T01:50:11.233Z [DEBUG] [TRAX]  Successfully fetched 32 services
2025-12-11T01:50:11.924Z [DEBUG] [TRAX]  Successfully processed service 972T
2025-12-11T01:50:12.344Z [DEBUG] [TRAX]  Successfully processed service C75T
2025-12-11T01:50:12.714Z [DEBUG] [TRAX]  Successfully processed service K32T
